a	/ei/	art.一(个);每一(个);(同类事物中)任一个\r
abandon	/ə'bændən/	vt.离弃,丢弃;遗弃,抛弃;放弃\r
abdomen	/æb'dəumen/	n.腹,下腹(胸部到腿部的部分)\r
abatement	/ə'beitmənt/	n.减(免)税,打折扣,冲销\r
abide	/ə'baid/	vi.(abode,abided)(by)遵守;坚持;vt.忍受,容忍\r
ability	/ə'biliti/	n.能力;本领;才能,才干;专门技能,天资\r
able	/'eibl/	a.有(能力、时间、知识等)做某事,有本事的\r
abnormal	/æb'nɔ:məl/	a.反常的,不正常的,不规则的\r
aboard	/ə'bɔ:d/	ad.&prep.在船(飞机、车)上;ad.上船(飞机、车)\r
abolish	/ə'bɔliʃ/	vt.废除(法律、习惯等);取消\r
abound	/ə'baund/	vi.大量存在;(~in,~with)充满,富于\r
about	/ə'baut/	ad.在周围;大约prep.关于;在周围a.准备\r
above	/ə'bʌv/	a.上述的ad.在上面,在前文prep.在..之上,高于\r
abroad	/ə'brɔ:d/	ad.到国外,在国外;在传播,在流传\r
abrupt	/ə'brʌpt/	a.突然的,出其不意的;(行为等)粗鲁无礼的\r
absence	/'æbsəns/	n.缺乏,不存在;缺席,不在场;缺席的时间\r
absent	/'æbsənt,æb'sent/	a.缺席的;缺乏的,不存在的;心不在焉的\r
absolute	/'æbsəlju:t/	a.绝对的,完全的;确实的,肯定的\r
absorb	/əb'sɔ:b,-'zɔ:b/	vt.吸收(水、光、蒸汽等）;使全神贯注;吞并/兼并\r
abstract	/'æbstrækt/	a.抽象的n.摘要,文摘,梗概vt.提取;摘录要点\r
absurd	/əb'sə:d/	a.荒谬的,荒诞的,荒唐可笑的;不合理的\r
abundance	/ə'bʌndəns/	n.丰富,充裕,大量\r
abundant	/ə'bʌndənt/	a.大量(充足)的;(in)丰富(富裕)的\r
abuse	/ə'bju:z,ə'bju:s/	vt.滥用;虐待,辱骂;诋毁n.滥用;恶习;弊端\r
academic	/,ækə'demik/	a.学院的,学术性的;大学的;理论的\r
academy	/ə'kædəmi/	n.(高等)专科院校;学术社团,协会,研究院\r
accelerate	/ək'seləreit/	v.使加速,使增速,促进vi.加快,增加\r
accent	/'æksənt,æk'sent/	n.口音,腔调;重音(符号)vt.重读\r
accept	/ək'sept/	vt.接受,领受;认可,同意vi.同意,认可\r
acceptable	/ək'septəbl/	adj.可接受的,合意的\r
acceptance	/ək'septəns/	n.接受,接收,验收,接纳;承认,认可\r
access	/'ækses/	n.进入;接入;到达;享用权;入口vi.存取\r
accessory	/ək'sesəri/	n.附件,附属品;(为全套衣服增加美感的)服饰\r
accident	/'æksidənt/	n.意外遭遇,事故;意外(因素)\r
accidental	/,æksi'dentəl/	a.偶然的;意外的;无意中的\r
acclaim	/ə'kleim/	v.向…欢呼,公认n.欢呼,喝彩,称赞\r
accommodate	/ə'kɔmədeit/	vt.向…提供住处;对...予以照顾性考虑\r
accommodation	/ə,kɔmə'deiʃən/	n.(accommodations)住宿,留宿;膳宿供应\r
accompany	/ə'kʌmpəni/	v.陪伴,陪同;伴随,和...一起发生,伴奏\r
accomplish	/ə'kʌmpliʃ,ə'kɔm-/	v.实现(计划等);达到(目的);完成(任务)\r
accord	/ə'kɔ:d/	vt.给予(欢迎、称颂等)vi.&n.符合,一致\r
accordance	/ə'kɔ:dəns/	n.一致,和谐,符合\r
accordingto	/ə'kɔ:diŋtu/	prep.据/照…(所说、所写);按…,视…\r
accordingly	/ə'kɔ:diŋli/	ad.相应地,照着办,按照;于是,因此\r
account	/ə'kaunt/	a.叙述,说明;账目,账户vi.说明,解释\r
accountant	/ə'kauntənt/	n.会计人员,会计师\r
accumulate	/ə'kju:mjuleit/	vt.堆积,积累,积聚vi.累积,聚积\r
accuracy	/'ækjurəsi/	n.准确（性）;精确;准确度\r
accurate	/'ækjurət/	a.正确无误的;准确的,精确的\r
accuse	/ə'kju:z/	vt.控告,指责vi.指控,指责\r
accustomed	/ə'kʌstəmd/	a.惯常的;习惯的,适应的(一般作表语)\r
ache	/eik/	vi.痛;哀怜n.(指连续)疼痛、酸痛\r
achieve	/ə'tʃi:v/	vt.实现,完成;达到,得到vi.达到预期目的\r
acid	/'æsid/	n.酸,酸性物质a.酸的,酸味的;尖刻的\r
acknowledge	/ək'nɔlidʒ/	vt.承认;接受;告知(信件等的)收到;答谢\r
acquaint	/ə'kweint/	vt.(with)使认识,使了解,使熟悉\r
acquaintance	/ə'kweintəns/	n.认识,相识,了解;相识的人,熟人\r
acquire	/ə'kwaiə/	v.获得;学到(知识等);养成(习惯)\r
acquisition	/,ækwi'ziʃən/	n.取得,学到,养成(习惯);获得的东西\r
acre	/'eikə/	n.英亩;田地;地产\r
acrobat	/'ækrəbæt/	n.特技演员,杂技演员\r
across	/ə'krɔs,ə'krɔ:s/	prep.横过,越过;在的对面ad.横过,穿过\r
act	/ækt/	v.表演;举动;起作用n.行为,法令;一幕\r
action	/'ækʃən/	n.行动,动作;作用;运转;行为;战斗\r
activate	/'æktiveit/	vt.启动,激活;驱动,驱使;使开始起作用\r
active	/'æktiv/	adj.活跃的,敏捷的,积极的;在活动中的\r
activity	/æk'tivəti/	n.活动;活力;能动性;\r
actor	/'æktə/	n.男演员;演员,行动者\r
actress	/'æktris/	n.女演员\r
actual	/'æktʃuəl/	a.实际的;现实的,真实的,目前的\r
acute	/ə'kju:t/	a.剧烈的;敏锐的;成锐角的;尖的,高音的\r
adapt	/ə'dæpt/	vt.使适应,使适合;改编;改写vi.适应\r
add	/æd/	vt.加;增加(进);进一步说/写vi.(to)增添\r
addict	/ə'dikt/	v.使沉溺;使上瘾n.沉溺于不良嗜好的人\r
addition	/ə'diʃən/	n.加,加法;附加部分,增加(物)\r
additional	/ə'diʃənəl/	a.额外的,附加的,另外的\r
address	/ə'dres/	n.住址;致词v.向...致词;在信封上写姓名\r
adequate	/'ædikwit/	adj.充足的,足够的;适当的,胜任的\r
adhere	/əd'hiə/	vi.(to)粘着;坚持,遵守;依附,追随\r
adjacent	/ə'dʒeisənt/	a.(to)(时间上)紧接着的;邻近的,毗邻的\r
adjective	/'ædʒiktiv/	n.形容词a.形容词的,用作形容词的\r
adjoin	/ə'dʒɔin/	v.临近,靠近;贴近,毗连\r
adjust	/ə'dʒʌst/	vt.调节;整顿,调整vi.适应(to);使调节\r
administer	/əd'ministə/	v.施行,实施;掌管,料理...的事务;给予\r
administration	/əd,mini'streiʃən/	n.经营,管理;行政,行政机关,管理部门\r
admire	/əd'maiə/	vt.钦佩,赞赏,羡慕;称赞,夸奖\r
admission	/əd'miʃən/	n.允许进入;承认;入场费,入会费,入场券\r
admit	/əd'mit/	vt.承认,供认;准许…进入,准许...加入\r
adolescent	/,ædəu'lesənt/	n.青少年a.青春期的,青少年的\r
adopt	/ə'dɔpt/	vt.采用,采取(态度等);选定;收养\r
adore	/ə'dɔ:/	vt.崇拜,敬慕,爱慕;非常喜欢\r
adult	/'ædʌlt,ə'dʌlt/	n.成年人a.成年的,充分长成的,成熟的\r
advance	/əd'vɑ:ns,əd'væns/	n.前进,预付vi.前进,进展vt.促进,推进\r
advanced	/əd'vɑ:nst,-'vænst/	a.超前的,先进的;高级的;开明的;前进的\r
advantage	/əd'vɑ:ntidʒ/	n.优点,长处,有利条件;利益,好处\r
advent	/'ædvənt/	n.(重要事件等的)到来,来临\r
adventure	/əd'ventʃə,æd-/	n.冒险,冒险活动,奇遇vt.大胆进行\r
adverb	/'ædvə:b/	n.副词a.副词的\r
adverse	/'ædvə:s,æd'və:s/	a.逆的,相反的;敌对的;不利的;有害的\r
advertise	/'ædvətaiz/	vt.公告,公布;为...做广告vi.登广告\r
advice	/əd'vais/	n.劝告,忠告,(医生等的)意见\r
advisable	/əd'vaizəbl/	a.可取的,适当的,明智的\r
advise	/əd'vaiz/	vt.忠告,劝告,建议;通知,告知\r
advocate	/'ædvəkeit,'ædvəkət/	n.辩护者,拥护者,鼓吹者vt.拥护,提倡\r
aerial	/'εəriəl/	a.(在或来自)空中的,航空的n.天线\r
aeroplane	/'εərəplein/	n.(airplane)(英)飞机\r
aesthetic	/i:s'θetik/	a.(esthetic)美学的,艺术的;审美的\r
affair	/ə'fεə/	n./pl./事务;事情(件);(个人的)事\r
affect	/ə'fekt,'æfekt/	vt.影响;(疾病)侵袭;感动n.情感,感情\r
affection	/ə'fekʃən/	n.爱,喜爱;爱慕之情;感情;疾病,不适\r
affiliate	/ə'filieit/	v.使隶属(或附属)于n.附属机构,分公司\r
affirm	/ə'fə:m/	vt.断言,坚持声称;肯定;证实,确认;\r
affluent	/'æfluənt/	a.富裕的,富有的,丰富的,富饶的\r
afford	/ə'fɔ:d/	vt.担负得起(损失、费用、后果等),买得起\r
afraid	/ə'freid/	adj.害怕的,恐惧的;犯愁的,不乐意的\r
after	/'ɑ:ftə,'æf-/	prep.在...以后;在...后面adv.以后,后来\r
afternoon	/,ɑ:ftə:'nu:n/	n.下午,午后\r
afterward	/'ɑ:ftəwəd,'æf-/	ad.(afterwards)以后,后来\r
again	/ə'ɡen,-'ɡein/	ad.再次,另一次;重新;除此,再,更,还\r
against	/ə'ɡenst,ə'ɡeinst/	prep.对着,逆;反对;违反;紧靠着;对比\r
age	/eidʒ/	n.年龄;时代;老年;长时间v.(使)变老\r
agency	/'eidʒənsi/	n.代理(处);代办处;/美/(政府的)机关,厅\r
agenda	/ə'dʒendə/	n.议事日程,记事册\r
agent	/'eidʒənt/	n.代理人;代理商;产生作用的人或事物\r
aggravate	/'æɡrəveit/	vt.加重(剧),使恶化;激怒,使恼火\r
aggressive	/ə'ɡresiv/	a.侵略的,好斗的,有进取心的,敢作敢为的\r
agitate	/'ædʒiteit/	v.摇动(液体);使焦虑不安;困扰;鼓动\r
ago	/ə'ɡəu/	ad.(常和一般过去时的动词连用)以前,…前\r
agony	/'æɡəni/	n.(精神或肉体的)极大痛苦,创伤\r
agree	/ə'ɡri:/	vi.答应,赞同;适合,一致;商定,约定\r
agreeable	/ə'ɡri:əbl/	a.符合的;一致的;欣然同意的;令人愉快的\r
agreement	/ə'ɡri:mənt/	n.协定;协议;契约;达成协议;同意,一致\r
agriculture	/'æɡrikʌltʃə/	n.农业,农艺,农耕\r
ahead	/ə'hed/	ad.在前面(头);向(朝)前;提前\r
aid	/eid/	n.援助,救护;助手,辅助物vi.援助,救援\r
aim	/eim/	n.目的;瞄准vi.(at)目的在于vt.把…瞄准\r
air	/εə/	n.空气;(复数)神气vt.(使)通风;晾干\r
air-conditioning	/ˈeə kəndɪʃnɪŋ/	n.空调设备,空调系统\r
aircraft	/'εəkrɑ:ft/	n.飞机,飞船,飞行器\r
airline	/'εəlain/	n.(飞机)航线a.(飞机)航线的\r
airport	/'εəpɔ:t/	n.机场,航空站,航空港\r
aisle	/ail/	n.(教堂、教室、戏院等里的)过道,通道\r
alarm	/ə'lɑ:m/	n.惊恐;警报(器)vt.惊动,惊吓;向…报警\r
album	/'ælbəm/	n.(同一表演者的)集锦密纹唱片;集邮册,相册\r
alcohol	/'ælkəhɔl/	n.酒精,乙醇;含酒精的饮料\r
alert	/ə'lə:t/	a.机警的,警觉的;机灵的vt.使…警觉\r
alien	/'eiljən/	n.外侨,外国人;外星人a.外国的;相异的\r
alike	/ə'laik/	a.同样的,相像的ad.一样地;同程度地　\r
alive	/ə'laiv/	a.活着的;存在的;活跃的;(to)敏感的\r
all	/ɔ:l/	a.全部的;非常的ad.完全地,很pron.全部\r
allege	/ə'ledʒ/	v.断言,宣称;指控\r
alleviate	/ə'li:vieit/	v.减轻,缓和,缓解(痛苦等)\r
alliance	/ə'laiəns/	n.同盟,同盟国;结盟,联姻\r
allocate	/'æləukeit/	v.分配,分派;拨给;划归\r
allow	/ə'lau/	vt.允许,准许;承认;给予;(for)考虑到\r
allowance	/ə'lauəns/	n.补贴,津贴;零用钱;减价,折扣;允许\r
alloy	/'ælɔi,ə'lɔi/	n.合金vt.将…铸成合金\r
ally	/'ælai,ə'lai/	n.同盟者,同盟国,vt.使结盟;与…有关联\r
almost	/'ɔ:lməust/	adv.几乎,差不多\r
alone	/ə'ləun/	a.单独的,孤独的ad.单独地,独自地;仅仅\r
along	/ə'lɔŋ/	ad.向前;和...一起,一同prep.沿着,顺着\r
alongside	/ə'lɔŋ'said/	ad.在旁边prep.和...在一起;在...旁边\r
aloud	/ə'laud/	adv.出声地,大声地\r
alphabet	/'ælfəbit/	n.字母表;初步,入门\r
already	/ɔ:l'redi/	ad.已,已经,早已\r
also	/'ɔ:lsəu/	ad.而且(也),此外(还);同样地\r
alter	/'ɔ:ltə/	vt.改变,更改;改做(衣服)vi.改变,变化\r
alternate	/'ɔ:ltəneit/	a.交替的,轮流的v.(使)交替,(使)轮流\r
alternative	/ɔ:l'tə:nətiv/	n.二选一;供选择的东西;取舍a.二选一的\r
although	/ɔ:l'ðəu/	conj.尽管,虽然...但是\r
altitude	/'æltitju:d/	n.高度,海拔;/pl./高处,高地\r
